customer_id,signup_date,country,acquisition_channel
1,2023-09-05,Germany,Email
2,2023-10-27,Poland,Email
3,2024-01-19,Germany,Paid Search
4,2023-10-30,Italy,Paid Search
5,2024-02-16,Germany,Organic
6,2024-04-20,Netherlands,Paid Search
7,2023-11-02,France,Organic
8,2023-06-12,Germany,Organic
9,2023-12-30,Germany,Email
10,2024-05-30,Germany,Paid Search
11,2023-07-01,Spain,Email
12,2023-11-16,Spain,Paid Search
13,2024-05-19,Germany,Organic
14,2023-09-02,France,Paid Search
15,2024-01-07,Germany,Organic
16,2023-08-22,Spain,Social
17,2023-06-14,Italy,Referral
18,2023-07-09,Poland,Email
19,2023-12-15,Poland,Email
20,2023-11-09,Germany,Email
21,2024-01-14,Germany,Email
22,2023-06-27,Poland,Social
23,2024-02-20,Germany,Social
24,2023-06-13,Germany,Paid Search
25,2024-01-12,Germany,Organic
26,2023-12-09,Spain,Social
27,2023-04-15,Netherlands,Social
28,2024-02-13,Austria,Organic
29,2023-09-24,France,Referral
30,2024-07-24,Germany,Organic
31,2023-08-19,France,Social
32,2024-06-04,Spain,Referral
33,2023-06-25,Germany,Paid Search
34,2023-03-22,Austria,Referral
35,2024-04-05,UK,Email
36,2023-03-07,Spain,Social
37,2023-05-06,Italy,Referral
38,2024-04-26,France,Social
39,2023-09-18,Spain,Paid Search
40,2023-11-20,France,Social
41,2024-03-07,Italy,Paid Search
42,2024-02-19,Italy,Paid Search
43,2023-08-25,UK,Organic
44,2023-02-24,Germany,Paid Search
45,2023-06-09,Austria,Email
46,2023-07-08,Austria,Referral
47,2024-04-24,Netherlands,Referral
48,2024-05-30,Austria,Organic
49,2023-04-10,UK,Social
50,2023-09-04,France,Social
51,2024-07-18,France,Organic
52,2023-09-14,Germany,Social
53,2024-01-27,UK,Paid Search
54,2024-01-18,Netherlands,Referral
55,2024-01-03,Germany,Organic
56,2023-08-22,Germany,Email
57,2023-04-29,Spain,Email
58,2023-12-04,Italy,Social
59,2024-02-15,Austria,Organic
60,2023-03-17,Germany,Organic
61,2024-08-17,Italy,Referral
62,2023-01-25,Germany,Organic
63,2023-02-09,Germany,Organic
64,2023-04-26,Spain,Referral
65,2023-07-27,France,Email
66,2023-10-16,Italy,Social
67,2023-09-21,Germany,Organic
68,2023-10-23,Germany,Paid Search
69,2023-07-12,UK,Email
70,2024-06-26,Germany,Paid Search
71,2023-07-26,Germany,Organic
72,2023-09-10,Germany,Organic
73,2023-04-29,Germany,Social
74,2023-09-25,Spain,Organic
75,2024-04-23,Germany,Email
76,2024-06-29,Netherlands,Organic
77,2024-01-28,UK,Organic
78,2023-11-06,UK,Referral
79,2023-08-31,UK,Referral
80,2024-02-02,Netherlands,Social
81,2023-07-20,Italy,Referral
82,2024-01-08,Germany,Organic
83,2023-10-28,Italy,Paid Search
84,2023-11-27,Germany,Organic
85,2024-04-29,UK,Paid Search
86,2023-04-15,UK,Email
87,2023-11-23,Germany,Email
88,2023-10-02,Germany,Organic
89,2024-01-04,Germany,Paid Search
90,2023-12-25,Germany,Referral
91,2023-11-29,UK,Social
92,2024-04-06,Germany,Organic
93,2024-06-25,Italy,Paid Search
94,2023-09-16,Poland,Paid Search
95,2023-07-09,Germany,Paid Search
96,2023-03-04,Germany,Paid Search
97,2024-07-26,France,Paid Search
98,2023-05-18,Poland,Paid Search
99,2023-08-31,France,Paid Search
100,2023-10-03,Germany,Organic
101,2023-06-20,Austria,Organic
102,2023-09-12,UK,Paid Search
103,2024-06-22,France,Email
104,2023-01-19,Poland,Email
105,2023-07-10,Poland,Organic
106,2023-07-05,UK,Paid Search
107,2023-12-29,Germany,Social
108,2023-04-23,UK,Paid Search
109,2023-07-05,Germany,Social
110,2023-07-03,France,Referral
111,2023-10-06,Germany,Organic
112,2023-08-10,Netherlands,Paid Search
113,2023-06-01,Spain,Paid Search
114,2024-03-07,Austria,Social
115,2024-05-04,Italy,Organic
116,2024-01-13,Germany,Social
117,2024-06-09,Germany,Organic
118,2023-06-05,UK,Social
119,2024-01-15,Germany,Social
120,2023-07-08,Germany,Paid Search
121,2024-02-16,Spain,Referral
122,2023-10-28,France,Email
123,2024-01-02,Germany,Paid Search
124,2023-05-06,UK,Referral
125,2024-03-22,Austria,Email
126,2024-04-30,Netherlands,Organic
127,2023-01-25,Germany,Social
128,2023-03-09,UK,Social
129,2024-02-08,Poland,Social
130,2023-08-08,Germany,Referral
131,2023-10-04,Netherlands,Paid Search
132,2023-03-24,Spain,Organic
133,2023-11-03,Spain,Paid Search
134,2023-12-23,Germany,Email
135,2024-02-27,Poland,Paid Search
136,2024-06-30,Germany,Organic
137,2023-03-06,Germany,Paid Search
