order_item_id,order_id,product_id,quantity,unit_price
1,1,50,3,22.37
2,1,130,1,38.32
3,2,65,1,95.93
4,2,90,1,36.23
5,2,131,1,21.15
6,2,138,1,27.96
7,3,51,1,61.56
8,4,20,2,612.21
9,5,6,1,745.89
10,5,89,2,48.84
11,6,133,3,8.93
12,6,118,2,24.31
13,7,106,3,236.39
14,8,8,1,734.18
15,9,106,2,236.39
16,9,32,1,127.35
17,10,75,1,78.07
18,10,83,1,62.44
19,10,107,1,274.17
20,11,119,1,14.03
21,11,67,1,102.28
22,12,21,1,80.06
23,13,120,1,26.42
24,13,96,1,41.53
25,14,75,1,78.07
26,14,8,1,734.18
27,15,23,1,69.11
28,16,87,1,36.61
29,17,127,1,31.91
30,18,116,2,293.64
31,19,56,1,32.92
32,20,90,1,36.23
33,21,107,1,274.17
34,21,44,1,99.25
35,21,101,1,150.72
36,21,108,2,32.5
37,22,134,1,18.73
38,23,21,1,80.06
39,23,85,1,26.08
40,23,77,2,63.71
41,23,52,1,53.34
42,24,111,1,61.42
43,24,21,3,80.06
44,25,94,1,24.49
45,25,87,1,36.61
46,26,18,1,753.69
47,27,108,2,32.5
48,27,120,1,26.42
49,28,134,2,18.73
50,28,119,1,14.03
51,28,11,2,755.96
52,29,35,1,141.88
53,30,64,2,110.5
54,30,71,1,107.68
55,31,10,1,838.97
56,31,100,1,143.49
57,32,23,2,69.11
58,33,8,2,734.18
59,34,24,1,36.71
60,35,42,1,79.0
61,35,62,1,117.98
62,35,12,1,291.66
63,35,14,2,665.23
64,36,81,1,68.19
65,37,34,1,167.39
66,38,38,2,204.52
67,39,51,1,61.56
68,40,46,2,72.6
69,41,8,1,734.18
70,42,41,3,98.17
71,43,128,1,27.31
72,44,119,1,14.03
73,44,83,1,62.44
74,45,95,1,44.01
75,45,62,1,117.98
76,46,46,3,72.6
77,46,66,1,28.11
78,46,127,1,31.91
79,47,110,1,281.47
80,47,134,1,18.73
81,47,20,2,612.21
82,48,140,1,30.07
83,48,2,1,181.58
84,48,35,1,141.88
85,48,97,2,30.35
86,49,91,1,43.89
87,49,12,1,291.66
88,50,111,1,61.42
89,51,57,1,57.31
90,52,1,1,238.05
91,52,103,1,211.32
92,53,25,1,142.14
93,54,18,1,753.69
94,54,134,1,18.73
95,55,119,2,14.03
96,56,19,1,648.16
97,57,119,3,14.03
98,58,83,1,62.44
99,59,86,1,45.8
100,59,95,3,44.01
101,59,19,1,648.16
102,60,132,1,13.9
103,60,12,2,291.66
104,60,127,1,31.91
105,61,54,2,92.51
106,61,93,1,52.15
107,61,78,2,69.84
108,62,3,1,498.85
109,63,89,1,48.84
110,63,38,1,204.52
111,64,65,1,95.93
112,65,101,1,150.72
113,66,72,1,62.8
114,66,86,3,45.8
115,67,140,3,30.07
116,68,52,1,53.34
117,68,95,1,44.01
118,68,112,3,294.2
119,68,12,2,291.66
120,69,35,1,141.88
121,70,46,1,72.6
122,71,54,1,92.51
123,72,6,2,745.89
124,73,133,1,8.93
125,73,9,1,862.58
126,74,116,1,293.64
127,74,55,3,37.71
128,75,129,2,6.32
129,75,132,1,13.9
130,76,10,1,838.97
131,77,31,1,214.18
132,78,76,3,55.63
133,79,71,1,107.68
134,79,39,1,86.95
135,80,62,1,117.98
136,80,91,1,43.89
137,81,58,1,38.13
138,82,85,1,26.08
139,83,23,1,69.11
140,83,81,1,68.19
141,83,41,1,98.17
142,84,85,3,26.08
143,84,13,1,189.93
144,85,93,2,52.15
145,85,12,1,291.66
146,85,118,3,24.31
147,86,78,2,69.84
148,86,21,1,80.06
149,87,100,1,143.49
150,88,123,1,7.58
151,89,140,1,30.07
152,89,50,1,22.37
153,90,123,1,7.58
154,90,107,1,274.17
155,90,134,1,18.73
156,90,48,2,21.07
157,91,50,1,22.37
158,92,95,2,44.01
159,92,122,2,28.33
160,93,115,2,48.71
161,93,14,2,665.23
162,94,65,3,95.93
163,94,95,1,44.01
164,95,105,2,100.73
165,96,135,1,16.46
166,97,101,1,150.72
167,98,24,3,36.71
168,98,138,1,27.96
169,98,76,1,55.63
170,98,23,3,69.11
