order_id,customer_id,order_date,channel,status
1,804,2024-04-25,Social,completed
2,2982,2023-09-16,Organic,completed
3,1018,2024-09-12,Paid Search,completed
4,1713,2024-06-28,Referral,completed
5,879,2023-06-21,Email,completed
6,459,2024-12-03,Paid Search,returned
7,1568,2024-09-04,Paid Search,completed
8,2237,2024-05-20,Email,completed
9,1213,2023-05-10,Social,completed
10,306,2024-05-23,Organic,completed
11,1007,2024-10-05,Paid Search,completed
12,991,2024-06-13,Paid Search,completed
13,2381,2024-06-27,Paid Search,completed
14,1137,2024-08-20,Organic,completed
15,2152,2024-11-29,Social,completed
16,1879,2024-06-14,Social,completed
17,1070,2024-10-20,Email,completed
18,2985,2024-03-10,Social,completed
19,2691,2024-09-11,Organic,completed
20,2730,2024-09-18,Organic,completed
21,1724,2024-02-06,Paid Search,completed
22,1270,2023-12-19,Paid Search,completed
23,2381,2023-11-23,Social,completed
24,3835,2023-10-18,Organic,completed
25,1726,2024-02-06,Paid Search,completed
26,2682,2023-06-04,Organic,completed
27,1760,2024-05-22,Social,completed
28,3731,2024-02-10,Organic,completed
29,1063,2023-04-22,Paid Search,completed
30,1830,2024-08-17,Email,completed
31,1978,2024-03-25,Social,completed
32,2940,2024-08-04,Paid Search,completed
33,2907,2024-11-11,Paid Search,completed
34,2980,2024-10-30,Organic,completed
35,2955,2024-04-15,Email,completed
36,1877,2024-07-15,Paid Search,completed
37,650,2024-02-27,Organic,completed
38,3483,2024-04-14,Paid Search,completed
39,1302,2024-03-02,Organic,completed
40,453,2024-01-30,Email,completed
41,534,2024-12-20,Organic,completed
42,1982,2023-04-15,Paid Search,completed
43,1687,2024-06-14,Social,completed
44,2674,2023-07-29,Organic,completed
45,2467,2024-03-23,Paid Search,completed
46,437,2024-05-24,Paid Search,completed
47,1189,2024-04-26,Social,completed
48,3598,2024-05-02,Email,completed
49,3082,2024-11-10,Organic,completed
50,3484,2024-10-20,Organic,completed
51,97,2024-11-29,Social,completed
52,3657,2024-06-01,Referral,completed
53,3441,2024-12-04,Referral,completed
54,1804,2024-10-25,Referral,completed
55,2707,2024-09-26,Email,completed
56,1092,2024-09-16,Organic,completed
57,2653,2024-08-20,Email,completed
58,3195,2024-05-07,Organic,cancelled
59,1936,2024-07-06,Paid Search,cancelled
60,116,2024-04-26,Social,completed
61,1645,2024-07-28,Social,completed
62,2925,2024-09-20,Organic,cancelled
63,2830,2024-11-14,Email,completed
64,1944,2024-09-25,Organic,completed
65,3948,2024-10-23,Referral,completed
66,476,2024-10-13,Paid Search,completed
67,662,2024-06-28,Paid Search,returned
68,1041,2024-08-07,Organic,completed
69,3216,2023-10-23,Referral,completed
70,3068,2024-12-19,Social,completed
71,3099,2024-05-15,Social,completed
72,3527,2024-03-25,Social,completed
73,1761,2024-01-15,Email,completed
74,1280,2024-10-18,Paid Search,completed
75,2419,2024-09-23,Referral,completed
76,1617,2024-02-01,Organic,completed
77,2108,2024-02-24,Email,completed
78,584,2024-10-08,Social,completed
79,1559,2024-06-25,Referral,completed
80,1890,2023-12-31,Email,completed
81,355,2024-07-23,Referral,completed
82,3976,2024-11-14,Social,completed
83,153,2024-07-12,Social,completed
84,3688,2024-07-17,Paid Search,completed
85,326,2024-07-06,Paid Search,completed
86,3430,2024-09-04,Social,completed
87,2206,2024-12-15,Organic,completed
88,803,2024-12-27,Organic,completed
89,936,2024-07-26,Paid Search,completed
90,1399,2024-02-09,Email,completed
91,3175,2024-05-28,Organic,completed
92,609,2024-09-03,Organic,completed
93,976,2024-05-09,Email,completed
94,2782,2024-07-07,Paid Search,completed
95,2476,2024-12-08,Paid Search,completed
96,1663,2023-11-04,Organic,completed
97,247,2024-04-14,Social,completed
98,2247,2024-09-23,Social,completed
99,925,2024-05-28,Organic,completed
100,2467,2024-04-26,Social,completed
101,1103,2024-07-21,Referral,completed
102,3929,2023-08-03,Paid Search,completed
103,2381,2023-10-13,Organic,completed
104,2299,2024-12-17,Email,completed
105,3351,2024-05-09,Organic,completed
106,3971,2024-07-29,Organic,cancelled
107,3120,2024-12-03,Social,completed
108,2396,2024-01-11,Email,completed
109,3454,2024-02-03,Paid Search,completed
110,745,2024-12-14,Social,completed
111,3074,2024-10-08,Social,completed
112,2729,2023-12-09,Social,completed
113,2267,2024-07-08,Organic,completed
114,3467,2024-02-17,Organic,completed
115,2851,2024-11-06,Social,completed
116,2884,2024-03-26,Referral,completed
117,3648,2024-08-06,Referral,completed
118,2808,2024-08-01,Email,completed
119,1033,2023-07-27,Referral,completed
120,755,2023-11-23,Organic,returned
121,2063,2024-07-18,Organic,completed
122,954,2024-04-28,Organic,completed
123,2810,2024-06-25,Social,completed
124,3375,2023-10-14,Paid Search,completed
125,1171,2024-02-25,Referral,completed
126,3661,2024-02-06,Organic,completed
127,3001,2024-11-04,Organic,completed
128,3956,2024-09-11,Organic,completed
129,813,2024-04-06,Organic,completed
130,1844,2024-11-16,Paid Search,returned
131,2578,2024-10-25,Paid Search,completed
132,3068,2024-08-13,Organic,completed
133,3655,2024-05-08,Social,completed
134,3579,2023-07-02,Organic,completed
135,956,2024-04-26,Organic,completed
136,1671,2024-06-13,Paid Search,completed
137,2893,2023-11-22,Referral,completed
138,548,2024-09-20,Referral,completed
139,3837,2024-01-07,Organic,completed
140,3002,2024-03-30,Organic,completed
141,3322,2024-08-17,Social,completed
142,3634,2024-02-07,Email,returned
143,735,2024-05-05,Paid Search,completed
144,1669,2024-08-24,Social,cancelled
145,2627,2023-10-13,Social,completed
146,3298,2023-12-06,Social,completed
147,2976,2023-08-01,Referral,completed
148,496,2024-02-14,Social,returned
149,2603,2024-10-23,Organic,completed
150,1181,2024-10-18,Referral,completed
151,1600,2024-04-10,Paid Search,completed
152,3975,2024-07-25,Organic,completed
153,656,2024-12-25,Social,completed
154,425,2024-09-13,Email,completed
155,1613,2024-12-08,Social,completed
156,3455,2024-09-22,Organic,completed
157,672,2024-04-07,Paid Search,completed
158,324,2024-09-02,Email,completed
159,1653,2024-11-20,Paid Search,returned
160,2545,2023-06-18,Organic,returned
161,646,2024-04-29,Referral,returned
162,3219,2024-06-03,Organic,completed
163,3384,2023-10-12,Organic,completed
164,2105,2024-08-26,Social,completed
165,128,2023-12-16,Paid Search,completed
166,2074,2024-09-03,Referral,returned
167,868,2024-02-07,Email,completed
168,1775,2024-10-30,Paid Search,completed
169,3058,2024-12-27,Paid Search,completed
170,221,2024-01-04,Email,returned
171,2,2024-12-27,Email,returned
172,554,2024-04-24,Social,completed
173,182,2023-05-21,Social,completed
174,1048,2023-09-21,Email,returned
175,1591,2024-09-08,Organic,cancelled
176,3122,2024-12-10,Organic,completed
177,127,2023-04-04,Paid Search,returned
178,1398,2024-07-26,Paid Search,completed
179,3721,2024-08-24,Organic,completed
180,2320,2024-12-21,Social,completed
181,3314,2024-11-17,Paid Search,completed
182,1936,2024-05-05,Organic,completed
183,403,2024-08-04,Email,completed
184,768,2023-09-29,Paid Search,completed
185,3053,2024-03-20,Paid Search,completed
186,3455,2024-10-31,Email,completed
187,1872,2024-07-19,Paid Search,completed
188,1972,2024-11-30,Paid Search,completed
189,1794,2024-05-10,Social,completed
190,76,2024-09-12,Referral,completed
191,395,2024-04-29,Social,cancelled
192,3967,2024-03-21,Referral,completed
193,170,2024-08-31,Referral,completed
194,1392,2024-11-13,Email,completed
195,2774,2024-08-10,Social,completed
196,1682,2024-09-25,Paid Search,completed
197,3937,2023-04-04,Paid Search,completed
198,135,2024-05-10,Social,completed
199,3501,2024-08-27,Paid Search,returned
200,561,2024-06-15,Paid Search,completed
201,836,2023-04-02,Email,completed
202,2131,2024-01-03,Email,completed
203,3491,2024-11-30,Organic,completed
204,1633,2024-09-20,Social,completed
205,1180,2024-04-16,Referral,completed
206,1580,2024-06-14,Email,completed
207,388,2023-08-14,Organic,completed
208,3355,2023-07-27,Email,completed
209,3670,2024-10-12,Email,completed
210,2714,2023-10-15,Organic,completed
211,1770,2024-12-18,Referral,completed
212,2477,2023-02-08,Paid Search,completed
213,2220,2024-10-17,Social,completed
214,212,2024-10-01,Organic,completed
215,1550,2023-12-21,Organic,completed
216,2647,2024-10-06,Paid Search,completed
217,3391,2023-12-28,Organic,completed
218,1415,2023-10-13,Social,completed
219,3282,2024-04-27,Organic,cancelled
220,3047,2024-11-14,Organic,cancelled
221,3720,2024-06-24,Social,returned
222,3960,2023-04-04,Paid Search,completed
223,170,2024-01-23,Organic,cancelled
224,1742,2024-11-21,Organic,completed
225,3103,2024-10-27,Paid Search,completed
226,3300,2024-12-08,Paid Search,completed
227,337,2024-08-05,Referral,completed
