customer_id,senior_citizen,partner,dependents,tenure_months,contract,internet_service,online_security,tech_support,paperless_billing,payment_method,monthly_charges,total_charges,churn
C100000,0,Yes,No,70,One year,DSL,Yes,No,Yes,Bank transfer,71.11,5120.68,No
C100001,0,Yes,Yes,72,Two year,DSL,Yes,Yes,No,Bank transfer,46.91,3283.69,No
C100002,0,Yes,No,10,One year,Fiber optic,Yes,No,Yes,Mailed check,67.71,648.04,No
C100003,0,Yes,No,1,Month-to-month,Fiber optic,No,Yes,Yes,Electronic check,84.64,86.42,Yes
C100004,0,No,No,23,Month-to-month,Fiber optic,No,No,Yes,Electronic check,56.98,1194.05,No
C100005,1,Yes,No,60,Two year,No,No,No,No,Bank transfer,49.55,3068.96,No
C100006,0,No,No,1,Month-to-month,Fiber optic,Yes,Yes,No,Bank transfer,80.73,75.22,No
C100007,0,Yes,No,52,Two year,Fiber optic,Yes,No,Yes,Electronic check,110.86,5274.42,No
C100008,0,Yes,Yes,12,One year,Fiber optic,Yes,No,Yes,Bank transfer,87.55,982.86,No
C100009,0,No,No,33,Month-to-month,Fiber optic,No,Yes,Yes,Mailed check,63.4,2134.84,No
C100010,0,No,No,1,Month-to-month,Fiber optic,No,No,Yes,Bank transfer,75.68,76.0,Yes
C100011,0,No,Yes,8,Month-to-month,No,No,No,No,Bank transfer,33.14,266.68,Yes
C100012,0,Yes,No,17,Month-to-month,DSL,No,No,No,Electronic check,60.34,1068.88,No
C100013,1,No,Yes,18,Month-to-month,Fiber optic,No,No,No,Bank transfer,101.74,1904.87,No
C100014,0,Yes,No,8,Month-to-month,DSL,Yes,Yes,Yes,Bank transfer,52.91,422.71,No
C100015,0,Yes,No,63,One year,DSL,No,Yes,Yes,Mailed check,38.67,2276.44,Yes
C100016,0,Yes,Yes,63,Two year,No,Yes,No,Yes,Electronic check,18.0,1164.62,No
C100017,0,No,No,41,One year,Fiber optic,No,No,No,Bank transfer,80.55,3269.86,Yes
C100018,0,No,Yes,44,One year,Fiber optic,No,No,Yes,Bank transfer,76.92,3524.59,No
C100019,0,Yes,No,58,Two year,DSL,Yes,No,No,Mailed check,71.0,3914.88,No
C100020,0,Yes,No,1,Month-to-month,Fiber optic,Yes,No,Yes,Mailed check,87.26,79.76,Yes
C100021,0,Yes,No,1,Month-to-month,DSL,Yes,No,Yes,Bank transfer,43.73,40.7,No
C100022,0,Yes,Yes,62,One year,Fiber optic,Yes,No,No,Credit card,69.0,4069.38,Yes
C100023,0,Yes,Yes,1,Month-to-month,No,Yes,No,No,Credit card,21.0,20.13,No
C100024,0,No,No,10,Month-to-month,Fiber optic,No,No,No,Credit card,75.96,723.13,Yes
C100025,0,Yes,No,24,Month-to-month,Fiber optic,No,No,No,Electronic check,90.15,2238.37,Yes
C100026,0,Yes,No,11,Month-to-month,Fiber optic,Yes,No,Yes,Credit card,94.82,1057.5,Yes
C100027,0,Yes,No,52,Two year,DSL,No,No,No,Credit card,31.92,1667.39,No
C100028,0,Yes,No,58,One year,Fiber optic,No,No,Yes,Credit card,78.28,4239.77,No
C100029,1,No,No,16,Month-to-month,Fiber optic,No,No,No,Credit card,73.36,1069.5,Yes
C100030,0,No,No,1,Month-to-month,DSL,Yes,No,Yes,Credit card,60.37,62.79,Yes
C100031,1,No,Yes,13,Month-to-month,Fiber optic,Yes,Yes,Yes,Credit card,89.12,1098.87,Yes
C100032,0,Yes,Yes,44,Month-to-month,No,No,Yes,Yes,Electronic check,24.63,1026.06,No
C100033,0,Yes,No,50,Month-to-month,Fiber optic,No,No,Yes,Electronic check,76.0,3842.02,No
C100034,0,No,No,58,One year,Fiber optic,No,Yes,No,Mailed check,75.46,4005.93,No
C100035,0,No,No,35,Month-to-month,DSL,No,No,Yes,Credit card,49.76,1757.74,No
C100036,1,No,Yes,27,Month-to-month,No,Yes,No,Yes,Mailed check,32.7,844.78,No
C100037,0,Yes,No,19,Month-to-month,Fiber optic,Yes,Yes,Yes,Mailed check,89.01,1545.47,No
C100038,0,No,No,29,Two year,Fiber optic,No,Yes,Yes,Credit card,76.8,2055.15,No
C100039,0,No,Yes,20,Month-to-month,Fiber optic,Yes,No,Yes,Bank transfer,81.33,1672.8,Yes
C100040,0,Yes,No,15,Month-to-month,Fiber optic,Yes,No,Yes,Credit card,86.39,1347.27,Yes
C100041,0,Yes,No,57,Two year,DSL,Yes,No,No,Bank transfer,43.54,2338.92,No
C100042,0,No,Yes,14,Month-to-month,DSL,Yes,No,No,Mailed check,53.81,729.78,No
C100043,0,Yes,No,55,Two year,DSL,No,No,Yes,Mailed check,49.54,2576.2,No
C100044,1,No,Yes,43,One year,DSL,Yes,No,Yes,Credit card,70.56,3169.65,No
C100045,0,No,Yes,71,One year,Fiber optic,Yes,No,Yes,Electronic check,64.85,4308.92,No
C100046,0,Yes,No,4,Month-to-month,DSL,Yes,No,Yes,Electronic check,42.54,159.7,No
C100047,0,No,Yes,17,Month-to-month,DSL,No,No,No,Electronic check,63.43,994.73,No
C100048,0,Yes,No,42,Month-to-month,Fiber optic,No,Yes,No,Bank transfer,102.03,4388.38,Yes
C100049,1,Yes,No,30,Two year,DSL,No,No,Yes,Mailed check,49.47,1540.64,No
C100050,0,Yes,Yes,22,Month-to-month,Fiber optic,No,No,Yes,Credit card,73.39,1640.82,No
C100051,0,No,No,36,One year,DSL,No,No,Yes,Mailed check,36.13,1283.1,No
C100052,0,No,No,22,Month-to-month,DSL,No,No,Yes,Credit card,59.96,1218.47,Yes
C100053,0,No,No,22,Month-to-month,Fiber optic,No,No,No,Electronic check,78.94,1592.25,No
C100054,0,Yes,Yes,28,Month-to-month,No,Yes,No,Yes,Credit card,25.12,648.83,No
C100055,0,No,Yes,16,Month-to-month,DSL,No,No,Yes,Credit card,44.61,691.55,No
C100056,1,No,No,30,Two year,DSL,No,No,Yes,Electronic check,64.3,1911.19,No
C100057,0,No,No,21,Month-to-month,Fiber optic,No,No,Yes,Mailed check,84.98,1731.26,Yes
C100058,0,No,Yes,53,Two year,Fiber optic,No,Yes,No,Electronic check,106.27,5883.08,No
C100059,0,No,Yes,60,One year,No,No,Yes,Yes,Bank transfer,23.97,1398.89,No
C100060,0,No,No,47,One year,DSL,No,Yes,Yes,Bank transfer,45.05,1938.28,No
C100061,0,Yes,No,46,One year,DSL,No,No,Yes,Mailed check,68.59,3060.53,No
C100062,0,No,No,13,One year,DSL,No,Yes,No,Mailed check,88.17,1200.26,No
C100063,0,No,No,1,Month-to-month,DSL,No,No,Yes,Mailed check,49.96,51.23,No
C100064,1,No,Yes,40,Month-to-month,Fiber optic,Yes,No,Yes,Bank transfer,94.02,3710.44,No
C100065,0,Yes,No,20,Month-to-month,Fiber optic,No,No,No,Electronic check,72.34,1366.14,Yes
C100066,0,No,No,10,Month-to-month,Fiber optic,No,Yes,Yes,Credit card,76.68,739.28,No
C100067,0,No,No,1,Month-to-month,Fiber optic,No,No,Yes,Bank transfer,69.36,70.97,Yes
C100068,0,No,No,54,Two year,Fiber optic,Yes,Yes,Yes,Mailed check,95.59,4743.93,No
C100069,0,No,Yes,3,Month-to-month,No,No,Yes,Yes,Credit card,29.62,81.11,No
C100070,0,Yes,Yes,1,One year,DSL,No,Yes,Yes,Bank transfer,65.56,66.34,Yes
C100071,0,No,No,24,Month-to-month,DSL,Yes,Yes,No,Mailed check,76.68,1715.48,No
C100072,0,No,Yes,46,Two year,DSL,No,Yes,Yes,Mailed check,26.8,1206.37,No
C100073,0,No,Yes,44,One year,No,No,No,Yes,Mailed check,18.0,763.06,No
C100074,0,No,No,31,Month-to-month,Fiber optic,No,No,Yes,Mailed check,73.75,2179.42,No
C100075,0,No,Yes,72,Two year,Fiber optic,No,No,Yes,Electronic check,75.1,5479.17,No
C100076,0,Yes,Yes,72,Two year,Fiber optic,No,No,No,Bank transfer,79.06,5635.34,No
C100077,0,Yes,No,38,Two year,No,Yes,No,Yes,Mailed check,46.71,1609.17,No
C100078,0,Yes,Yes,39,One year,Fiber optic,Yes,No,Yes,Bank transfer,85.16,3339.6,No
C100079,0,Yes,No,9,Month-to-month,DSL,Yes,No,No,Bank transfer,55.31,518.55,No
C100080,0,Yes,No,15,Month-to-month,DSL,No,No,No,Credit card,49.66,776.48,No
C100081,0,Yes,No,46,Two year,Fiber optic,No,Yes,No,Bank transfer,64.23,2979.33,No
C100082,0,No,No,34,One year,DSL,Yes,No,Yes,Electronic check,38.72,1357.41,No
C100083,1,No,No,2,Month-to-month,No,Yes,No,No,Electronic check,32.84,62.39,No
C100084,0,Yes,No,67,Two year,Fiber optic,No,Yes,Yes,Mailed check,67.75,4437.04,No
C100085,0,Yes,No,18,One year,DSL,No,No,No,Mailed check,57.66,956.49,No
C100086,0,Yes,Yes,5,One year,Fiber optic,No,Yes,Yes,Mailed check,94.5,428.13,No
C100087,0,Yes,Yes,8,Month-to-month,Fiber optic,No,No,Yes,Bank transfer,83.55,698.45,No
C100088,0,Yes,No,24,Month-to-month,Fiber optic,Yes,No,No,Credit card,68.78,1717.15,Yes
C100089,1,Yes,Yes,18,Month-to-month,No,No,No,No,Electronic check,39.02,701.74,Yes
C100090,0,No,Yes,1,Month-to-month,DSL,No,No,No,Bank transfer,53.18,51.9,Yes
C100091,0,Yes,No,30,Two year,Fiber optic,No,Yes,No,Electronic check,60.47,1837.25,No
C100092,1,Yes,No,16,Month-to-month,Fiber optic,No,Yes,No,Mailed check,73.86,1122.15,No
C100093,0,Yes,No,38,Month-to-month,No,Yes,Yes,Yes,Credit card,31.66,1239.19,No
C100094,1,Yes,No,13,Month-to-month,DSL,No,No,No,Electronic check,34.96,459.1,No
C100095,1,Yes,No,33,One year,Fiber optic,Yes,No,Yes,Electronic check,79.41,2576.73,No
C100096,0,Yes,No,22,Month-to-month,DSL,Yes,Yes,Yes,Mailed check,57.43,1172.54,Yes
C100097,0,Yes,No,1,Month-to-month,Fiber optic,No,Yes,Yes,Bank transfer,73.85,72.24,Yes
C100098,0,No,No,1,Month-to-month,No,Yes,No,Yes,Credit card,35.32,36.85,No
C100099,0,Yes,No,35,Month-to-month,Fiber optic,Yes,Yes,Yes,Credit card,85.91,2777.61,No
C100100,0,Yes,No,36,Two year,DSL,Yes,Yes,Yes,Credit card,48.62,1796.92,No
C100101,0,Yes,Yes,45,One year,No,No,Yes,Yes,Bank transfer,27.04,1273.45,No
C100102,0,No,No,32,Month-to-month,Fiber optic,No,No,No,Mailed check,95.84,2823.36,Yes
C100103,0,No,No,15,Month-to-month,Fiber optic,No,Yes,No,Electronic check,75.55,1063.01,No
C100104,0,No,No,45,Two year,No,No,Yes,Yes,Credit card,38.62,1614.15,No
C100105,0,No,No,18,Month-to-month,Fiber optic,No,No,Yes,Bank transfer,80.09,1338.3,No
C100106,1,No,No,25,One year,DSL,Yes,No,Yes,Bank transfer,63.12,1583.16,No
C100107,0,No,Yes,43,One year,Fiber optic,No,No,Yes,Bank transfer,80.0,3220.1,No
C100108,0,Yes,No,25,Month-to-month,Fiber optic,No,No,No,Credit card,77.87,1772.22,No
C100109,0,Yes,Yes,6,Month-to-month,Fiber optic,Yes,No,Yes,Mailed check,98.5,563.65,Yes
C100110,0,Yes,Yes,50,One year,DSL,No,No,No,Electronic check,44.93,2310.43,No
C100111,0,No,Yes,61,Two year,Fiber optic,No,Yes,Yes,Electronic check,62.41,3956.08,No
C100112,1,Yes,No,1,Month-to-month,DSL,Yes,Yes,No,Electronic check,43.63,43.62,No
C100113,1,Yes,Yes,69,Two year,DSL,Yes,Yes,Yes,Bank transfer,70.76,4644.85,No
C100114,0,No,Yes,27,Month-to-month,DSL,No,No,Yes,Mailed check,38.84,1010.36,Yes
C100115,0,Yes,No,58,One year,Fiber optic,No,Yes,Yes,Electronic check,86.29,4576.69,No
C100116,0,No,No,45,Two year,DSL,Yes,No,Yes,Electronic check,65.7,2879.23,No
C100117,1,No,Yes,1,Month-to-month,DSL,No,No,Yes,Electronic check,49.66,46.15,Yes
C100118,0,No,No,20,Month-to-month,Fiber optic,No,No,No,Bank transfer,75.89,1563.61,No
C100119,0,Yes,No,19,Two year,Fiber optic,Yes,No,Yes,Bank transfer,79.31,1389.9,No
C100120,0,No,Yes,24,Month-to-month,No,No,No,Yes,Credit card,18.0,414.56,Yes
C100121,0,No,No,27,One year,DSL,Yes,No,No,Bank transfer,55.85,1512.21,No
C100122,0,No,Yes,26,One year,Fiber optic,No,Yes,No,Electronic check,68.26,1695.59,No
C100123,0,No,No,15,Month-to-month,DSL,No,No,Yes,Electronic check,53.99,741.5,No
C100124,1,Yes,No,24,One year,Fiber optic,No,Yes,No,Credit card,93.41,2068.06,No
C100125,0,No,No,1,Month-to-month,Fiber optic,No,No,Yes,Electronic check,77.7,76.77,Yes
C100126,1,Yes,Yes,6,Month-to-month,Fiber optic,Yes,No,No,Mailed check,86.76,492.76,Yes
C100127,0,Yes,Yes,22,Month-to-month,Fiber optic,No,No,Yes,Credit card,97.12,2043.43,No
C100128,0,Yes,No,26,Month-to-month,No,No,Yes,Yes,Bank transfer,22.76,618.82,No
C100129,1,No,No,10,Month-to-month,Fiber optic,No,Yes,No,Electronic check,90.97,941.58,No
