order_id,order_date,region,segment,category,sub_category,quantity,discount,sales,profit
ORD-009727,2022-01-04,North,Consumer,Office Supplies,Art,5,0.0,43.45,10.46
ORD-002443,2022-01-09,South,Consumer,Office Supplies,Labels,1,0.1,14.6,1.99
ORD-010934,2022-01-09,North,Home Office,Technology,Accessories,4,0.15,289.45,27.64
ORD-010779,2022-01-11,West,Corporate,Furniture,Tables,2,0.1,160.0,-6.93
ORD-003423,2022-01-12,North,Home Office,Office Supplies,Labels,2,0.0,68.68,15.46
ORD-008058,2022-01-13,North,Corporate,Furniture,Bookcases,5,0.0,542.03,29.87
ORD-001319,2022-01-13,North,Consumer,Furniture,Chairs,2,0.0,209.01,17.85
ORD-006912,2022-01-17,West,Corporate,Office Supplies,Art,5,0.0,95.64,10.85
ORD-011349,2022-01-19,Central,Consumer,Office Supplies,Art,1,0.2,33.95,11.53
ORD-000331,2022-01-25,South,Corporate,Furniture,Furnishings,3,0.2,241.93,-21.33
ORD-003092,2022-01-27,North,Consumer,Office Supplies,Binders,1,0.3,21.38,-8.76
ORD-001614,2022-01-29,North,Consumer,Office Supplies,Binders,5,0.0,129.65,-4.44
ORD-004017,2022-01-30,North,Home Office,Office Supplies,Labels,2,0.0,54.97,-11.1
ORD-010629,2022-01-31,East,Corporate,Office Supplies,Art,5,0.15,25.34,-0.47
ORD-003949,2022-02-01,East,Consumer,Technology,Accessories,4,0.0,180.5,25.5
ORD-009141,2022-02-01,West,Consumer,Office Supplies,Storage,4,0.1,71.24,-7.88
ORD-011895,2022-02-02,West,Consumer,Office Supplies,Labels,4,0.15,43.59,1.02
ORD-005960,2022-02-04,North,Consumer,Technology,Phones,1,0.15,226.33,30.05
ORD-005861,2022-02-06,North,Corporate,Technology,Accessories,4,0.15,161.83,-3.8
ORD-001892,2022-02-07,Central,Consumer,Office Supplies,Art,1,0.0,49.97,1.66
ORD-009563,2022-02-08,West,Consumer,Office Supplies,Labels,5,0.15,38.64,15.11
ORD-003098,2022-02-09,Central,Consumer,Technology,Laptops,2,0.2,197.65,0.94
